时间,名称,申报类别,出版单位,运营单位,标签1,标签2,标签3,标签4,标签5,标签6,标签7,标签8,标签9,标签10
2023/6/20,猫话列国,移动,杭州烈焰网络技术有限公司,上海赤恩网络科技有限公司,,,,,,,,,,
2023/6/20,浮空秘境,移动,成都盈众九州网络科技有限公司,厦门魔兔网络科技有限公司,,,,,,,,,,
2023/6/20,舞力全开：派对,移动,华东师范大学电子音像出版社有限公司,上海碧汉网络科技有限公司,,,,,,,,,,
2023/6/20,东离剑游纪,移动,上海科学技术文献出版社有限公司,上海映雄体育文化有限公司,,,,,,,,,,
2023/6/20,潮灵王国：起源,移动,成都盈众九州网络科技有限公司,武汉盛天游戏网络科技有限公司,,,,,,,,,,
2023/6/20,岛与工厂,客户端,深圳中青宝互动网络股份有限公司,上海心愉计算机科技有限公司,,,,,,,,,,
2023/6/20,泡之星派对,移动、客户端,江苏凤凰电子音像出版社有限公司,南京凤侠网络科技有限公司,,,,,,,,,,
2023/6/20,长河归来,移动,杭州群游科技有限公司,厦门快快网络科技有限公司,,,,,,,,,,
2023/6/20,鸡城奇兵,移动,江苏凤凰数字传媒有限公司,广州宾果网络科技有限公司,,,,,,,,,,
2023/6/20,魂族崛起,移动,杭州润趣科技有限公司,杭州魂族网络科技有限公司,,,,,,,,,,
2023/6/20,压一压,移动-休闲益智,宁波东海岸电子音像出版社有限公司,武汉市多比特信息科技有限公司,,,,,,,,,,
2023/6/20,我的游乐园：橡皮泥挑战赛,移动,上海科学技术文献出版社有限公司,上海荃尼网络科技有限公司,,,,,,,,,,
2023/6/20,无极仙道,移动,辽宁电子出版社有限责任公司,深圳智品天成科技有限公司,,,,,,,,,,
2023/6/20,流浪地球,移动,华东师范大学电子音像出版社有限公司,上海暗冬网络科技有限公司,,,,,,,,,,
2023/6/20,宝贝乐消消,移动-休闲益智,北京目标在线科技有限公司,乐元素科技（北京）股份有限公司,,,,,,,,,,
2023/6/20,山海进化录,移动-休闲益智,杭州哲信信息技术有限公司,梓文（北京）科技有限公司,,,,,,,,,,
2023/6/20,熊猫咖啡屋,移动,杭州烈焰网络技术有限公司,咪咕文化科技有限公司,,,,,,,,,,
2023/6/20,卢娜的魔法屋,移动,方圆电子音像出版社有限责任公司,北京任之信息技术有限公司,,,,,,,,,,
2023/6/20,盲盒派对,移动-休闲益智,杭州盛迈通信技术有限公司,杭州傲娇网络科技有限公司,,,,,,,,,,
2023/6/20,几何王国,移动-休闲益智,黑龙江科学技术出版社有限公司,南京盛景网势技术服务有限公司,,,,,,,,,,
2023/6/20,召唤与重生,移动,杭州润趣科技有限公司,成都市福乐游网络科技有限公司,,,,,,,,,,
2023/6/20,王牌射击,移动-休闲益智,浙江出版集团数字传媒有限公司,深圳全民互动科技有限公司,,,,,,,,,,
2023/6/20,海底争锋,移动-休闲益智,上海方寸信息科技有限公司,上海怡净网络科技有限公司,,,,,,,,,,
2023/6/20,无人机模拟飞行,移动-休闲益智,杭州乐港科技有限公司,北京摩丰科技有限公司,,,,,,,,,,
2023/6/20,蓬莱镇,移动、客户端,江苏凤凰数字传媒有限公司,成都星奕网络科技有限公司,,,,,,,,,,
2023/6/20,兵团出击,移动-休闲益智,广东音像出版社有限公司,深圳传趣网络技术有限公司,,,,,,,,,,
2023/6/20,王牌突击队,移动-休闲益智,杭州渡口网络科技有限公司,北京字节旋律科技有限公司,,,,,,,,,,
2023/6/20,胡同小店,移动-休闲益智,北京北纬通信科技股份有限公司,上海趣滋滋网络科技有限公司,,,,,,,,,,
2023/6/20,星厨烹饪记,移动,方圆电子音像出版社有限责任公司,成都怪趣科技有限公司,,,,,,,,,,
2023/6/20,新汉苗,移动-休闲益智,广州多益网络股份有限公司,多益网络有限公司,,,,,,,,,,
2023/6/20,男生女生向前冲,移动,安徽新华电子音像出版社,上海美阳网络有限公司,,,,,,,,,,
2023/6/20,燕云十六声,移动、客户端,广州网易计算机系统有限公司,杭州网易雷火科技有限公司,,,,,,,,,,
2023/6/20,镇魂街：破晓,移动,辽宁电子出版社有限责任公司,深圳金翅鸟信息科技有限公司,,,,,,,,,,
2023/6/20,我就是要种田,移动,成都超级梦网络技术股份有限公司,厦门泡游网络科技有限公司,,,,,,,,,,
2023/6/20,一念仙凡,移动,海南省电子音像出版社有限公司,海南君海网络科技有限公司,,,,,,,,,,
2023/6/20,百战霸主,移动-休闲益智,天津电子出版社有限公司,天津六六游科技有限公司,,,,,,,,,,
2023/6/20,迷你世界创造板,移动-休闲益智,江西高校出版社有限责任公司,深圳市迷你玩科技有限公司,,,,,,,,,,
2023/6/20,力力普的工坊,移动、客户端,江苏凤凰电子音像出版社有限公司,江苏凤凰数字传媒有限公司,,,,,,,,,,
2023/6/20,妙消连连,移动-休闲益智,咪咕互动娱乐有限公司,深圳市派乐地科技有限公司,,,,,,,,,,
2023/6/20,二极管的一生,移动-休闲益智,上海电子出版有限公司,上海领音文化传播有限公司,,,,,,,,,,
2023/6/20,空之勇者,移动、客户端,上海声像电子出版社,上海创想乐游网络科技有限公司,,,,,,,,,,
2023/6/20,天空之森,移动,辽宁电子出版社有限责任公司,广州百游信息科技有限公司,,,,,,,,,,
2023/6/20,神州千食舫,移动,厦门雷霆互动网络有限公司,深圳雷霆信息技术有限公司,,,,,,,,,,
2023/6/20,梦幻宠物大陆,移动,湖北省扬子江影音有限责任公司,深圳市魔术科技有限公司,,,,,,,,,,
2023/6/20,逃出梦梦岛,移动,上海科学技术文献出版社有限公司,上海娱公竞宇网络有限公司,,,,,,,,,,
2023/6/20,雀仔营地,移动,四川数字出版传媒有限公司,深圳市凉屋游戏科技有限公司,,,,,,,,,,
2023/6/20,我是航天员,移动,波克科技股份有限公司,波克科技股份有限公司,,,,,,,,,,
2023/6/20,烈火足球,移动-休闲益智,上海同济大学电子音像出版社有限公司,上海团竞网络科技有限公司,,,,,,,,,,
2023/6/20,荒野奇兵,移动,成都盈众九州网络科技有限公司,上海灵访科技有限公司,,,,,,,,,,
2023/6/20,龙骑士学园,移动,成都盈众九州网络科技有限公司,上海手游天下数字科技有限公司,,,,,,,,,,
2023/6/20,麦吉庄园,移动,江苏凤凰数字传媒有限公司,麦吉太文（北京）科技有限公司,,,,,,,,,,
2023/6/20,集换风暴,移动,辽宁电子出版社有限责任公司,大连金逸互娱网络科技有限公司,,,,,,,,,,
